 11.7030, 6.7721, 1.7284, 1.7284
 6.1210, 4.8080, 1.4639, 1.4639
 4.1741, 3.6496, 1.3071, 1.3071
 3.2320, 2.6255, 1.0906, 1.0906
 2.6736, 1.9295, 0.9272, 0.9272
 2.7079, 1.8917, 0.9149, 0.9149
 2.1980, 2.4848, 1.0393, 1.0393
 2.1200, 1.5453, 0.8163, 0.8163
 1.9808, 1.7623, 0.8806, 0.8806
 2.1347, 1.6154, 0.8413, 0.8413
 1.8771, 1.3725, 0.7664, 0.7664
 1.8166, 1.3630, 0.7636, 0.7636
 1.5885, 1.5283, 0.7968, 0.7968
 1.5460, 1.3938, 0.7728, 0.7728
 1.4731, 1.2467, 0.7264, 0.7264
 1.5346, 1.2829, 0.7340, 0.7340
 1.4819, 1.2007, 0.7093, 0.7093
 1.4892, 1.3943, 0.7713, 0.7713
 1.3911, 1.3023, 0.7453, 0.7453
 1.4130, 1.3551, 0.7460, 0.7460
 1.3661, 1.3124, 0.7285, 0.7285
